shot_id,section_id,timing_hint,priority,shot_role,visual_brief,storyblocks_queries,min_count,target_bin,notes
S01-001,S01,00:00:00-00:00:07,A,Cloud sea opening,"Premium airplane-window or above-clouds establishing shot; calm, bright, not stormy","airplane window clouds|above clouds airplane wing|cloudscape above clouds",2,04_Footage/01_Clouds_Window,"Series signature. Avoid dark or turbulent skies."
S02-001,S02,00:00:07-00:00:19,A,Private sky study,"Passenger POV, quiet cabin/window feeling, reflective mood","airplane window passenger view|business class window clouds|airplane cabin window cinematic",1,04_Footage/01_Clouds_Window,"No visible airline logos unless clearly generic."
S02-002,S02,00:00:19-00:00:25,A,Question hook clock,"Watch, phone, or clock detail that implies time uncertainty","wristwatch close up travel|watch airplane window|clock close up cinematic",1,04_Footage/02_Time_Clocks,"Use near 'いま、何時ですか'."
S02-003,S02,00:00:25-00:00:46,B,Time suspended in flight,"Plane wing over land or clouds; sense of between places","airplane wing over clouds|airplane wing over landscape|in flight airplane wing",1,04_Footage/01_Clouds_Window,"Useful bridge into time-zone explanation."
S03-001,S03,00:00:46-00:01:05,A,Sun and old time,"Sun, sundial, or old clock imagery for local solar time","sundial close up|sun clock shadow|old clock hands close up",1,04_Footage/02_Time_Clocks,"Can be abstract; avoid goofy museum reenactment."
S03-002,S03,00:01:05-00:01:25,A,Railway standard time,"Railway tracks, station clock, timetable, train departure board","train station clock|railway timetable|train departure board clock",2,04_Footage/03_Maps_Railway,"Core explanation: travel forced synchronized time."
S03-003,S03,00:01:25-00:01:45,A,World time zones,"World map, longitude lines, time-zone visualization, globe","world map time zones|globe longitude lines|world clock map",1,04_Footage/03_Maps_Railway,"Prefer clean graphic-like footage or macro map shots."
S03-004,S03,00:01:45-00:02:14,B,Greenwich / origin of time,"Greenwich, observatory, meridian, old navigation/time instruments","greenwich observatory|prime meridian|old navigation instruments",1,04_Footage/03_Maps_Railway,"If direct Greenwich is weak, use abstract meridian/globe."
S04-001,S04,00:02:14-00:02:32,A,Back to wing crossing boundary,"Aircraft wing calmly crossing cloud layers or horizon","airplane wing sunset clouds|airplane wing clouds cinematic|airplane wing horizon",1,04_Footage/04_Landing_Ending,"Return from history to passenger experience."
S04-002,S04,00:02:32-00:02:54,B,Digital silence / leaving work behind,"Subtle phone/laptop closed, cabin calm, no explicit brand","close laptop travel|phone airplane mode close up|quiet airplane cabin",1,04_Footage/04_Landing_Ending,"Optional if it feels too stock-like."
S04-003,S04,00:02:54-00:03:00,A,Wing shadow / cloud plain,"Wing shadow on clouds or aerial cloud plain; poetic landing beat","airplane shadow clouds|wing shadow clouds|cloud plain aerial",1,04_Footage/04_Landing_Ending,"Direct match to script if available."
S05-001,S05,00:03:00-00:03:06,A,Closing book / title mood,"Book, quiet desk, or sky-to-book metaphor for 'today's one book'","book close up cinematic|library desk light|open book slow motion",1,04_Footage/04_Landing_Ending,"Can be replaced by typography if too literal."
