Episode,Clip Name,Bin Path,Source File,Keywords,Comments,Notes
EP08,EP08_010_SnoozePOV,Episode08/Intro,[TBD],"S:屋内; M:砂時計; C:スロモ; E:苦悩; T:自己; M:ネットワーク","EP08_導入_二度寝視点","主観ショットで罪悪感。"
EP08,EP08_020_MorningRoutine,Episode08/Intro,[TBD],"S:屋内; A:読書; C:TL; E:苦悩; T:時間; M:書物","EP08_導入_朝活追跡","習慣アプリTL。"
EP08,EP08_030_StarMapSegue,Episode08/StarMap,[TBD],"S:夜景; M:星空; M:ネットワーク; C:TL; E:高揚; T:自己","EP08_OP_星座提示","テンプレ流用。"
EP08,EP08_040_LarkSunrise,Episode08/Science,[TBD],"S:自然; M:群鳥; C:空撮; E:静寂; T:時間; C:俯瞰","EP08_科学_ヒバリ","朝日の鳥ショット。"
EP08,EP08_050_OwlNight,Episode08/Science,[TBD],"S:自然; M:群鳥; C:望遠; E:静寂; T:時間; C:スロモ","EP08_科学_フクロウ","夜のフクロウ対比。"
EP08,EP08_060_ClockMontage,Episode08/Bridge,[TBD],"S:屋内; M:砂時計; C:TL; E:高揚; T:時間; M:ネットワーク","EP08_橋渡し_時計モンタージュ","様々な時計TL。"
EP08,EP08_070_FoucaultLibrary,Episode08/Theory,[TBD],"S:図書館; M:書物; C:望遠; E:苦悩; T:倫理; M:ネットワーク","EP08_理論_規律の檻","棚の列を俯瞰。"
EP08,EP08_080_ZenCalligraphy,Episode08/Philosophy,[TBD],"S:寺社; M:インク; C:マクロ; E:静寂; T:自己; M:禅庭","EP08_哲学_守破離","書道スロモ。"
EP08,EP08_090_SoloRunner,Episode08/Resolution,[TBD],"S:屋外; A:歩行; C:望遠; E:静寂; T:自己; M:窓","EP08_結末_自分のペース","単独ランナー。"
EP08,EP08_100_NightskyOutro,Episode08/Outro,[TBD],"S:夜景; M:星空; C:空撮; E:静寂; T:自己; M:ネットワーク","EP08_結末_星空締め","シリーズアウトロ。"
