Name;AllOf;AnyOf;NoneOf
INT-孤独な夜のオフィス;"S:夜景,S:社内";"M:窓,E:孤独";
INT-知の星座;;"M:ネットワーク,M:脳HUD";
INT-思索・執筆;;"M:書物,M:インク,A:筆記,S:図書館";
INT-禅・静寂;;"M:禅庭,M:竹林,S:寺社,E:静寂";
INT-群れの調和;"C:俯瞰";"M:群鳥,M:群集";
INT-管理社会;"M:群集,C:俯瞰";"S:社内,S:夜景";
INT-漂流・航海;"M:海";"C:空撮,S:自然";
INT-孤独なリモートワーク;"S:屋内,E:孤独";"M:窓,A:読書";
INT-混乱したオフィス;"S:社内,A:会議";"C:TL,E:苦悩";
INT-緊張感のある会議;"S:社内,A:会議,E:苦悩";;
INT-群集心理;"M:群集";"C:俯瞰,C:TL";
INT-フロー体験;;"M:脳HUD,T:脳科学";
INT-孤立したエース;"S:社内,E:孤独";"C:望遠,M:窓";
INT-日本の伝統美;;"M:禅庭,S:寺社,M:竹林";
INT-形式的な会議;"A:会議,C:固定,E:静寂";;
INT-体内時計・クロノタイプ;"T:脳科学";"M:砂時計,T:時間";
INT-禅・守破離;;"S:寺社,M:禅庭,M:インク";
INT-無機質な建築;"S:夜景,C:空撮";;"S:自然"
INT-カリスマと群衆;"M:群集,E:高揚";;"A:会議"
INT-システムの歯車;"S:社内,C:俯瞰,T:組織";;
INT-知の探求;;"S:図書館,M:書物,A:読書";
INT-キャリアの岐路;;"C:俯瞰,S:自然";
INT-瞑想・静寂;"E:静寂";"S:自然,M:禅庭,S:寺社";
INT-脳科学イメージ;;"M:脳HUD,M:ネットワーク";
INT-分析麻痺;"E:苦悩,S:社内";"M:書物,A:会議";
INT-カント・哲学;"M:星空,T:倫理";"M:書物,A:歩行";
PRI-01 知性の星座アニメーション;"M:ネットワーク,T:脳科学";"M:星空,M:脳HUD";
PRI-02 流れる水・川;"S:自然,M:海,C:スロモ";"M:光芒,C:マクロ";
PRI-03 脳スキャンとニューロン;"M:脳HUD,T:脳科学";"M:ネットワーク";
PRI-04 シルエットと窓;"M:窓,S:夜景,E:孤独";"S:社内";
PRI-05 道と分岐点;"S:自然";"C:俯瞰,C:空撮";
PRI-06 オリオン座タイムラプス;"M:星空,C:TL";"S:夜景";
PRI-07 炎と嵐の海;"C:スロモ";"M:海,M:光芒";
PRI-08 天秤のクローズアップ;"T:倫理,C:マクロ";;
PRI-09 古代の書物;"M:書物,M:羊皮紙";"C:マクロ,A:筆記";
PRI-10 都会の雑踏;"M:群集,C:俯瞰";"C:TL";
OPT-11 インクドロップ;"M:インク,C:マクロ";"C:スロモ";
OPT-12 崩壊のメタファ;"E:苦悩,C:スロモ";"M:光芒";
OPT-13 デバイス操作の手元;"S:社内,C:マクロ";"A:会議";
OPT-14 会議室のシルエット;"S:社内,A:会議";"E:静寂,E:苦悩";
OPT-15 DNAらせん構造;"T:脳科学,M:脳HUD";"M:ネットワーク";
OPT-16 植物の成長タイムラプス;"S:自然,C:TL";"M:竹林";
OPT-17 茶室の所作;"S:屋内,E:静寂";"M:禅庭,M:竹林";
OPT-18 水墨画アニメーション;"M:インク,A:筆記";;
OPT-19 古代遺跡の俯瞰;"S:屋外,T:歴史";"C:空撮";
OPT-20 仮面のメタファ;"T:自己,E:孤独";"S:屋内";
OPT-21 羅針盤のクローズアップ;"M:地図,C:マクロ";;
OPT-22 パズルの統合;"T:組織,C:マクロ";;
OPT-23 灯台と嵐の海;"M:海,S:自然";"M:光芒";
OPT-24 鍛冶師の鍛造;"C:スロモ";"M:光芒,E:高揚";
OPT-25 宇宙からの地球;"M:星空,C:空撮";"S:屋外";
IDEA-26 氷山の一角;"S:自然,M:海";;
IDEA-27 ドミノ倒し;"C:スロモ,C:俯瞰";"S:屋内";
IDEA-28 砂の城と波;"M:砂丘,M:海";"C:TL";
IDEA-29 森と木の俯瞰;"S:自然,C:俯瞰";"C:空撮";
IDEA-30 金継ぎの美;"M:インク,E:静寂";"A:筆記";
