Episode,Clip Name,Bin Path,Source File,Keywords,Comments,Notes
EP06,EP06_010_GlassWall,Episode06/Intro,[TBD],"S:社内; M:窓; E:孤独; C:望遠; T:組織; A:会議","EP06_導入_ガラス越し","飲み会見送る構図。"
EP06,EP06_020_TeamCelebrates,Episode06/Intro,[TBD],"S:社内; M:群集; A:会議; C:パン; E:高揚; T:組織","EP06_導入_騒ぐチーム","対比用歓談ショット。"
EP06,EP06_030_StarMapSegue,Episode06/StarMap,[TBD],"S:夜景; M:星空; M:ネットワーク; C:TL; E:高揚; T:自己","EP06_OP_星座提示","テンプレ流用。"
EP06,EP06_040_AchillesCharge,Episode06/Myth,[TBD],"S:自然; M:群集; C:スロモ; E:高揚; T:歴史; M:光芒","EP06_古代_アキレウス突撃","抽象戦闘シルエット。"
EP06,EP06_050_SoloCamp,Episode06/Myth,[TBD],"S:自然; M:砂丘; C:俯瞰; E:孤独; T:歴史; C:スロモ","EP06_古代_孤独な夜営","焚き火ソロキャンプ。"
EP06,EP06_060_BirdMurmuration,Episode06/Science,[TBD],"S:自然; M:群鳥; C:空撮; C:俯瞰; E:高揚; T:組織","EP06_科学_群れの調和","スターニング群れドローン。"
EP06,EP06_070_TugofWar,Episode06/Metaphor,[TBD],"S:社内; M:群集; A:会議; C:スロモ; E:苦悩; T:組織","EP06_比喩_リンゲルマン","綱引き比喩ショット。"
EP06,EP06_080_Orchestra,Episode06/Metaphor,[TBD],"S:社内; M:群集; C:俯瞰; E:静寂; T:組織; A:会議","EP06_比喩_オーケストラ","指揮者俯瞰。"
EP06,EP06_090_ModernHandshake,Episode06/Resolution,[TBD],"S:社内; A:握手; E:静寂; T:組織; C:固定","EP06_結末_和解","握手アップ。"
EP06,EP06_100_NightskyOutro,Episode06/Outro,[TBD],"S:夜景; M:星空; C:空撮; E:静寂; T:自己; M:ネットワーク","EP06_結末_星空締め","共通アウトロ。"
