start_sec,comment,keywords,notes
0.500,"夜のオフィス窓辺で一人佇む社員","S:夜景; S:社内; M:窓; C:望遠; E:孤独; T:自己","冒頭トーンを強調。望遠ショット推奨。"
6.858,"岐路か迷路に立つ人物の影","S:屋外; M:羅針盤; C:俯瞰; E:苦悩; T:自己","脱出か逃避かの葛藤を比喩的に表現。"
12.808,"星空と砂漠、古代の書物が重なる","M:星空; M:砂丘; M:書物; C:TL; T:歴史; T:時間","シリーズのテーマを凝縮したOP映像。"
23.250,"深夜のオフィスビル群、単窓の灯り","S:夜景; S:社内; C:空撮; C:望遠; E:静寂","無数の匿名性の中の個を象徴。"
30.644,"SNS画面をスクロールする指先","S:屋内; M:ネットワーク; C:マクロ; C:TL; E:苦悩; T:自己","情報の洪水と内心の焦りを対比。"
48.674,"閉じていくオフィスのドア","S:社内; C:固定; E:孤独; T:組織","取り残された感覚をフレームで表現。"
52.604,"オリオン座が輝く夜空のパン","S:夜景; M:星空; C:パン; C:TL; E:静寂","番組タイトルへの導入。美しい星空。"
67.470,"星々が線で結ばれていくCG","M:星空; M:ネットワーク; C:固定; T:歴史","知の星座が形成される様を視覚化。"
71.112,"砂漠、書物、群集、迷路のモンタージュ","M:砂丘; M:書物; M:群集; C:TL; T:歴史; T:自己","各要素をテンポよくカットバック。"
85.106,"結ばれた星座がゆっくり回転する","M:星空; M:ネットワーク; C:スロモ; E:静寂; T:歴史","物語の始まりを荘厳に演出。"
95.452,"スマホ画面にポップアップ通知","S:屋内; M:ネットワーク; C:マクロ; E:苦悩; T:自己","現実への引き戻し。浅い被写界深度で。"
102.014,"求人サイトの魅力的な条件をアップ","S:屋内; M:書物; C:マクロ; C:固定; T:組織; T:自己","書物の現代版としてのWebページ。"
111.144,"居酒屋で愚痴をこぼす同僚の口元","S:屋内; A:会議; C:固定; E:苦悩; T:組織","閉塞感のある会話シーン。"
114.936,"月曜の朝、無表情で出社する群衆","S:社内; M:群集; A:歩行; C:TL; E:孤独; T:組織","繰り返される日常の象徴。"
128.922,"PCのブックマークフォルダをアップ","S:屋内; S:社内; M:書物; C:マクロ; E:苦悩; T:自己","行動できない葛藤を手元で示す。"
142.664,"窓の外を眺める人物のシルエット","S:社内; M:窓; C:固定; E:孤独; E:静寂; T:自己","内省的な問いかけのカット。"
151.198,"きっぱりと否定するような断ち切り","","","黒味インサート推奨。"
